Region Expected Observed Kov.Smoke
1 230 9.6684139843 3 23
2 250 4.6219524625 3 50
3 215 18.185283755 23 50
4 228 5.3308258215 4 25
5 247 14.650184807 12 35
6 256 14.465222477 14 42
7 229 9.21117591 14 43
8 216 13.818491403 15 40
9 208 18.634182251 11 31
10 207 15.179004072 13 39
11 253 6.3049358958 13 68
12 317 7.4091740683 8 21
13 310 6.0989524931 9 38
14 245 18.902745071 14 24
15 233 8.9229819942 6 33
16 240 8.3050827442 7 40
17 231 9.9179960534 11 15
18 252 9.2987303437 13 35
19 251 4.1392028979 6 52
20 241 9.1325978663 10 43
21 258 9.9153754438 4 24
22 260 7.1243498793 4 34
23 249 5.7488551721 5 43
24 235 8.1803360892 2 27
25 223 16.907914114 20 5
26 214 22.630312357 19 19
27 213 10.691807308 7 23
28 212 18.765529264 21 36
29 211 12.167708606 10 49
30 209 11.917492522 12 51
31 257 6.8500678931 15 58
32 224 21.363737544 24 13
33 311 3.8264260342 4 17
34 321 12.550646611 11 18
35 238 8.4757189628 5 28
36 309 4.2566861579 3 27
37 242 24.111716461 9 4
38 227 118.99730968 111 29
39 248 10.960593858 11 36
40 246 11.328850674 10 13
41 259 7.2497656404 6 38
42 262 11.63173936 15 45
43 255 10.118840848 6 28
44 236 10.009861015 6 28
45 225 9.8622604399 15 30
46 219 16.065627524 15 36
47 222 13.736236802 13 17
48 316 13.014228776 12 31
49 220 10.018662811 11 28
50 218 13.521274468 13 21
51 206 9.6954748278 9 33
52 210 32.622735309 32 47
53 195 5.6576189167 1 33
54 265 10.873245864 12 59
55 455 4.8660162102 9 63
56 442 3.3930180654 3 60
57 319 11.116914422 11 20
58 318 11.225867509 14 34
59 237 15.458399243 10 16
60 232 9.6853416612 9 38
61 239 7.684108828 7 13
62 308 24.986810349 37 37
63 268 12.24037642 12 47
64 244 8.1187978367 11 35
65 254 8.233547519 7 32
66 226 9.3142787742 6 35
67 217 22.317138416 28 14
68 315 9.660181829 11 34
69 221 14.232467544 16 15
70 203 10.633361419 8 43
71 183 27.758724796 23 16
72 204 12.549738209 13 18
73 198 18.690288516 16 46
74 196 26.108946374 25 32
75 261 4.155542313 4 41
76 269 11.772080283 17 50
77 263 4.0821790054 2 28
78 168 5.0514331949 10 57
79 171 3.4869334193 4 61
80 163 9.7110857406 15 71
81 322 34.354797368 45 88
82 462 8.1841450211 5 32
83 413 6.3532224838 3 52
84 417 7.269261253 9 56
85 445 5.8412877774 4 15
86 426 4.0656361817 4 26
87 423 3.3468431719 6 42
88 418 10.841778211 12 82
89 274 5.3612181244 6 44
90 419 6.9448240828 4 65
91 448 2.3492580416 0 56
92 415 6.7074391597 3 64
93 313 17.844193575 19 28
94 312 8.8285419333 8 29
95 243 6.8645601166 6 49
96 314 7.3197718187 11 43
97 266 9.020248681 10 32
98 288 3.4537426579 4 38
99 234 8.4546205239 9 33
100 184 42.882880003 30 9
101 182 56.262738357 49 20
102 193 12.31743873 13 9
103 185 22.823877757 28 15
104 286 9.6423332253 9 51
105 205 15.212459056 21 23
106 186 40.364816661 33 24
107 188 11.133651561 9 36
108 175 8.8673627292 12 52
109 197 33.252980552 35 33
110 169 4.0851564979 4 59
111 162 4.4963090185 7 62
112 165 15.620854338 18 58
113 199 11.302758742 15 45
114 264 8.6652864668 4 47
115 267 8.3204882804 9 34
116 283 9.5866496676 17 44
117 270 7.1932164001 8 49
118 272 6.7767710327 9 31
119 287 48.48135745 72 38
120 285 8.5716896499 11 16
121 292 14.769838827 22 33
122 181 9.7807706091 13 62
123 178 9.5032354611 11 30
124 164 3.415094865 3 57
125 167 5.3467981241 7 27
